Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,36263.0,,25198.0,9796.0,106.0,10.0,18,3.5,,5.04,35526,737,2.07,
Albania,4880.0,144.0,2745.0,1991.0,117.0,6.0,63,2.95,56.25,5.25,4171,709,17.0,Europe
Algeria,27973.0,1163.0,18837.0,7973.0,616.0,8.0,749,4.16,67.34,6.17,23691,4282,18.07,Africa
Andorra,907.0,52.0,803.0,,10.0,0.0,0,5.73,88.53,6.48,884,23,2.6,Europe
Angola,950.0,,242.0,667.0,18.0,1.0,0,4.32,,16.94,749,201,26.84,Africa
Antigua and Barbuda,86.0,3.0,65.0,18.0,4.0,0.0,5,,,4.62,76,10,13.16,Americas
Argentina,167416.0,3059.0,72575.0,91782.0,4890.0,120.0,2057,1.83,43.35,4.21,130774,36642,28.02,Americas
Armenia,37390.0,711.0,26665.0,10014.0,73.0,6.0,187,1.9,71.32,2.67,34981,2409,6.89,
Australia,15303.0,167.0,9311.0,5825.0,368.0,6.0,137,1.09,60.84,1.79,12428,2875,23.13,Western Pacific
Austria,20558.0,,18246.0,1599.0,86.0,1.0,37,3.47,88.75,3.91,19743,815,4.13,Europe
Azerbaijan,30446.0,423.0,23242.0,6781.0,396.0,6.0,558,1.39,76.34,1.82,27890,2556,9.16,Europe
Bahamas,382.0,11.0,91.0,280.0,40.0,0.0,0,2.88,23.82,12.09,174,208,119.54,Americas
Bahrain,39482.0,,36110.0,3231.0,351.0,1.0,421,0.36,91.46,0.39,36936,2546,6.89,Eastern Mediterranean
Bangladesh,226225.0,2965.0,,97577.0,2772.0,37.0,1801,1.31,55.56,2.36,207453,18772,9.05,South-East Asia
Barbados,110.0,,94.0,9.0,0.0,0.0,0,,85.45,7.45,106,4,3.77,Americas
Belarus,,,60492.0,6221.0,119.0,,67,0.8,89.95,0.89,66213,1038,1.57,
Belgium,,9822.0,17452.0,39154.0,402.0,1.0,14,14.79,26.27,56.28,64094,2334,3.64,Europe
Belize,48.0,2.0,26.0,20.0,0.0,0.0,0,4.17,54.17,7.69,40,8,20.0,Americas
Benin,,35.0,1036.0,699.0,0.0,0.0,0,1.98,58.53,3.38,1602,168,10.49,Africa
Bhutan,99.0,0.0,,13.0,4.0,0.0,1,0.0,,0.0,90,9,10.0,South-East Asia
Bolivia,71181.0,2647.0,21478.0,47056.0,1752.0,,309,,30.17,12.32,60991,10190,16.71,
Bosnia and Herzegovina,10498.0,294.0,4930.0,,731.0,,375,2.8,46.96,5.96,8479,2019,23.81,
Botswana,739.0,2.0,63.0,,53.0,1.0,11,0.27,8.53,3.17,522,217,41.57,Africa
Brazil,2442375.0,87618.0,1846641.0,508116.0,23284.0,614.0,33728,3.59,75.61,4.74,2118646,323729,15.28,Americas
Brunei,141.0,3.0,138.0,0.0,0.0,0.0,0,2.13,97.87,2.17,141,0,0.0,Western Pacific
Bulgaria,10621.0,,5585.0,4689.0,194.0,7.0,230,,52.58,6.21,8929,1692,18.95,
Burkina Faso,1100.0,53.0,,121.0,14.0,0.0,6,4.82,84.18,5.72,1065,35,3.29,Africa
Burma,350.0,6.0,,52.0,0.0,,2,1.71,,2.05,341,9,2.64,South-East Asia
Burundi,378.0,1.0,301.0,76.0,17.0,0.0,22,0.26,79.63,0.33,322,56,17.39,Africa
Cabo Verde,2328.0,22.0,1550.0,756.0,21.0,0.0,103,0.95,66.58,1.42,2071,257,12.41,Africa
Cambodia,,0.0,147.0,79.0,1.0,0.0,4,,65.04,0.0,171,55,32.16,Western Pacific
Cameroon,17110.0,391.0,14539.0,2180.0,402.0,6.0,0,2.29,84.97,2.69,16157,953,5.9,Africa
Canada,116458.0,8944.0,0.0,107514.0,682.0,11.0,0,7.68,0.0,inf,112925,3533,3.13,Americas
Central African Republic,4599.0,,1546.0,,0.0,,0,1.28,33.62,3.82,4548,51,1.12,Africa
Chad,922.0,75.0,810.0,37.0,,0.0,0,8.13,87.85,9.26,889,33,3.71,Africa
Chile,347923.0,9187.0,319954.0,18782.0,2133.0,75.0,1859,2.64,91.96,2.87,333029,14894,4.47,Americas
China,86783.0,4656.0,,,213.0,4.0,7,5.37,90.88,5.9,85622,1161,1.36,Western Pacific
Colombia,257101.0,8777.0,,117163.0,16306.0,508.0,11494,3.41,,6.69,204005,53096,26.03,Americas
Comoros,354.0,7.0,328.0,19.0,0.0,0.0,0,,92.66,2.13,334,20,5.99,Africa
Congo (Brazzaville),3200.0,,829.0,,162.0,3.0,73,,25.91,6.51,2851,349,12.24,Africa
Congo (Kinshasa),8844.0,208.0,5700.0,2936.0,13.0,4.0,190,2.35,,3.65,8443,401,4.75,Africa
Costa Rica,15841.0,115.0,3824.0,11902.0,612.0,11.0,88,0.73,24.14,3.01,11534,4307,37.34,Americas
Cote d'Ivoire,,,10361.0,,59.0,0.0,183,0.61,66.18,0.93,14312,1343,9.38,
Croatia,4881.0,139.0,3936.0,806.0,24.0,3.0,70,2.85,80.64,3.53,4370,511,11.69,
Cuba,2532.0,87.0,2351.0,94.0,37.0,0.0,2,3.44,92.85,3.7,2446,86,3.52,Americas
Cyprus,,19.0,852.0,189.0,3.0,,0,1.79,80.38,2.23,1038,22,2.12,Europe
Czechia,15516.0,373.0,11428.0,3715.0,192.0,2.0,0,2.4,73.65,3.26,14098,1418,10.06,Europe
Denmark,13761.0,613.0,12605.0,543.0,109.0,,77,4.45,91.6,4.86,13453,308,2.29,Europe
Djibouti,5059.0,58.0,4977.0,24.0,9.0,0.0,11,1.15,98.38,1.17,5020,39,0.78,Eastern Mediterranean
Dominica,18.0,,18.0,0.0,0.0,0.0,0,0.0,100.0,0.0,18,0,0.0,
Dominican Republic,64156.0,1083.0,30204.0,32869.0,1248.0,20.0,1601,1.69,47.08,3.59,53956,10200,18.9,
Ecuador,81161.0,5532.0,34896.0,40733.0,467.0,17.0,0,6.82,,15.85,74620,6541,8.77,Americas
Egypt,92482.0,4652.0,34838.0,52992.0,420.0,46.0,1007,5.03,37.67,13.35,88402,4080,4.62,Eastern Mediterranean
El Salvador,15035.0,408.0,7778.0,6849.0,405.0,8.0,130,2.71,51.73,5.25,12207,2828,23.17,Americas
Equatorial Guinea,3071.0,51.0,842.0,,0.0,0.0,0,1.66,27.42,6.06,3071,0,0.0,
Eritrea,,0.0,191.0,74.0,2.0,0.0,2,,72.08,0.0,251,14,5.58,Africa
Estonia,2034.0,69.0,1923.0,42.0,0.0,0.0,1,3.39,94.54,3.59,2021,13,0.64,Europe
Eswatini,2316.0,,1025.0,1257.0,,2.0,39,1.47,,3.32,1826,490,26.83,Africa
Ethiopia,14547.0,228.0,,,579.0,5.0,170,1.57,43.9,3.57,10207,4340,42.52,Africa
Fiji,27.0,0.0,18.0,9.0,0.0,0.0,0,,66.67,0.0,27,0,0.0,Western Pacific
Finland,,329.0,6920.0,149.0,5.0,,0,4.45,93.54,4.75,7340,58,0.79,Europe
France,220352.0,,81212.0,108928.0,2551.0,17.0,267,13.71,36.86,37.2,214023,6329,2.96,Europe
